Title,Company,Location,Reviews,Description,Application Link,Job Post Date,Salary
Software Engineer Intern,Force Therapeutics,"New York, NY",N/A,"Software Engineering Intern- Fall 2021Force is reimagining the way patients recover from injury and surgery. We are partnered with leading health systems across the United States to deliver prescriptive plans of care to their patients, measure multiple clinical data points and provide actionable insights into care and recovery. We have a direct and immediate feedback loop to our end users (patients and providers) and pride ourselves in being agile and responsive.What you'll be doingOwning a full-stack project from scoping to releaseCollaborating with other engineers through 1:1 pairing to build new features, patch bugs, and improve our codebaseShipping code regularly as part of our Agile development processReceiving plenty of support from mentors and managers throughout the fallPresenting your progress at company-wide demos throughout your internshipWhat you'll learnFront-end development - React/Redux, TypeScriptBack-end development - Python (Django)Testing and unit test frameworksAgile development methodologiesHow to work on a web-based SaaS application on an agile development teamGit workflows (feature branch, pull request, etc.)What we're looking forPursuing BS/MS degree in Computer Science, Engineering (or a related subject) or successful completion of Coding BootcampEngineering core skills (data structures & algorithms, coding best practices, etc.)Knowledge of object-oriented programmingFluent in Python and/or JavascriptNice to haves include familiarity with React/Typescript, Redux, Django and GitA love for writing clean, well-tested codeSelf-motivated, proactive, with strong organizational and communication skillsWhat we OfferPaid Internship - $20/hourCompany provided laptopTeam ActivitiesWFH",https://www.indeed.com/rc/clk?jk=401f9533e647f340&from=vj&pos=bottom&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXh2Oiagibw2AEMSiK4A8diGwsdLqiuaGy5Gw05HfKNzLw&astse=33b0e44a16d13433&assa=788&vjfrom=serp,13 days ago,$20 an hour
"Software Engineer, Intern/Co-op",Facebook,"New York, NY",4.1 out of 5 stars from 630 employee ratings,"Want to build new features and improve existing products that more than a billion people around the world use? Are you interested in working on highly impactful technical challenges to help the world be more open and connected? Want to solve unique, large-scale, highly complex technical problems? Our development cycle is extremely fast, and we've built tools to keep it that way. It's common to write code and have it running live on the site just hours later. We push code to the site continuously and have small teams that build products that are touched by millions of people around the world. If you work for us, you will be able to make an impact immediately. Facebook is seeking Software Engineer Interns to join our engineering team. As a Software Engineer at Facebook, you’ll drive the development of the systems behind Facebook's products, create web applications that reach billions of people, build high volume servers and be a part of a team that’s working to help people connect with each other around the globe. This internship/co-op has a minimum twelve (12) week duration.Develop and push production-ready code by quickly ramping on assigned codebase, product area, and/or systemComplete assigned tasks efficiently with few iterationsIdentify problem statements, outline optimal solutions, account for tradeoffs and edge casesCommunicate effectively across multiple stakeholdersCurrently enrolled in a full-time, degree-seeking program and in the process of obtaining a Bachelors or Masters degree in computer science or a related fieldExperience coding in an industry-standard language (e.g. Java, Python, C++, Objective-C, JavaScript)Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employmentDemonstrated software engineering experience from a previous internship, work experience, coding competitions, or publicationsIntent to return to degree-program after the completion of the internship/co-opFacebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",https://www.indeed.com/rc/clk?jk=7371af2d092b98b2&from=vj&pos=bottom&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXibrWth6ll1uUJtTcTDmPMkMIfcMu539kP3i1FMxIq2rA&astse=43b45ad04bf9b392&assa=1853&vjfrom=serp,30+ days ago,N/A
2022 UberSTAR Internship Program,Uber,"New York, NY","3.7 out of 5 stars from 2,999 employee ratings","The Summer Technology cAreer Readiness Program (STAR) at Uber is a 12-week paid internship for undergraduate first-years and rising sophomores. This program is for current college students interested in working in technology and opportunities with Uber after graduation.UberSTAR is a program open to all eligible students and is especially committed to exposing students historically underrepresented in this field to career opportunities in the industry. Students from all schools and students who identify with a group that is historically underrepresented in the technology industry, including but not limited to Black, Hispanic, Native American, students with disabilities, veterans are encouraged to apply.As an UberSTAR, you'll have a direct impact on the customer experience for both riders and drivers. Do you like our service and want to bring them to the next level? Do you have a beef with our app and want to fix it? Then you should apply to join our team. We are results-oriented, engaged, and passionate about reinventing the transportation industry across the world. Not just another social web app: we are moving real assets and real people around their cities. Outside of your work, you will be building significant relationships with other STARS and Uber mentors through a variety of summer activities.If you meet these criteria, we welcome you to apply.BASIC QUALIFICATIONSActively pursuing a Bachelor's degree in Computer Science, Engineering or a related technical field.Must have completed an introductory Computer Science course.Must be first-year or sophomore (2nd year) year class standing at the time of application.PREFERRED QUALIFICATIONSProven software engineering experience through previous internships, work experience, coding competitions, and/or publicationsProgramming experience one or more application or systems languages (Go, Python, Ruby, Java, C/C++, etc)Experience building tools/infrastructureA desire to be part of a team that delivers impactful results every dayDedication to writing understandable, maintainable, and reusable softwareAn innate desire to deliver and a strong sense of accountability for your workAbility to learn new languages and methodologiesAt Uber, we ignite opportunity by setting the world in motion. We take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 10,000 cities around the world.If you have a disability or special need that requires accommodation, please let us know by completing the form:(https://docs.google.com/forms/d/e/1FAIpQLSdb_Y9Bv8-lWDMbpidF2GKXsxzNh11wUUVS7fM1znOfEJsVeA/viewform?uclick_id=6403f2bc-736b-4349-a225-9e2a6c457e3a).Uber is proud to be an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements.We welcome people from all backgrounds who seek the opportunity to help build a future where everyone and everything can move independently. If you have the curiosity, passion, and collaborative spirit, work with us, and let's move the world forward, together.",https://www.indeed.com/rc/clk?jk=00eeb9591f2be347&from=vj&pos=bottom&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgiPq01zVIWM5-G75NesZZ4XEqzEHpaMck04qufWYB5sg&astse=e578e7d490663cbf&assa=2586&vjfrom=serp,8 days ago,N/A
"Front End Engineer, Intern/Co-Op",Facebook,"New York, NY",4.1 out of 5 stars from 630 employee ratings,"Are you interested in building products used by over a billion people? Do you like shipping code at a rapid pace? Facebook is seeking Front End Engineering interns who are passionate about building and desktop web applications.Work with Product Designers to develop Facebook productsBuild efficient and reusable front-end abstractions and systemsIdentify and address performance bottlenecksParticipate in design and code reviewsInteract with other team members to incorporate their innovations and vice versaIdentify and communicate best practices for front-end engineering1 or more years of experience writing high-performance, reusable code for UI components1 or more years of experience developing rich applications with HTML/CSS/JSMust obtain work authorization in the country of employment at the time of hire and maintain ongoing work authorization during employmentCurrently has, or is in the process of obtaining, a Bachelors or Masters degree.Passion for performance debugging and benchmarkingAware of but not reliant on Object Oriented Frameworks (Prototype JS, MooTools, Dojo, etc.)Intent to return to degree-program after the completion of the internship/co-opFacebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",https://www.indeed.com/rc/clk?jk=42c2227aebfe468e&from=vj&pos=bottom&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgumzr9B2ktYJa9LwDKhLVrGQFsFDP3gSdjjHZnj9ZEfg&astse=9fb54bc5dcd9bee9&assa=3324&vjfrom=serp,24 days ago,N/A
Software Engineer: Summer Intern,Jane Street,"New York, NY",N/A,"About the ProgramOur internships center around hands-on mentorship and a robust educational curriculum that includes challenging classes, interactive sessions, and small group discussions. Over the course of 10-12 weeks, you’ll be matched with full-time employees in your role who will mentor you as you tackle real-world projects they design. You’ll also be able to access our physical and virtual educational resources, attend guest speakers and social events, and hopefully get a real sense of what it would be like to work here full time.If you’ve never thought about a career in finance, you’re in good company—many of us were in the same position before working here. If you have a curious mind, a collaborative nature, and a passion for solving interesting problems, we have a feeling you’ll fit right in.About the PositionAs a Software Engineering intern, you’ll learn how we use OCaml (our primary development language) in our day to day work, and gain exposure to the libraries and tools that are foundational to our internal systems.During the program you’ll work on two projects, mentored closely by the full-time employees who designed them. Some projects consider big-picture questions that we’re still trying to figure out, while others involve building something new. Your mentors will work in two distinct areas, so you’ll gain a better understanding of the wide range of problems we solve every day, from machine learning to systems administration to programming language design.If you’d like to learn more, you can read about our interview process, meet some of our newest hires, or get a sense of what our most recent intern projects looked like.About YouWe don’t expect you to have a background in finance, OCaml, functional programming, or any other specific field—we’re looking for smart people who enjoy solving interesting problems. We’re more interested in how you think and learn than what you currently know. You should be:A top-notch programmer with a passion for technologyCollaborative and courteous with strong interpersonal and communication skillsEager to ask questions, admit mistakes, and learn new thingsFluent in English",https://www.indeed.com/rc/clk?jk=a90f5c17c68647a7&from=vj&pos=bottom&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXjF8kD5v19pHuOsvXvR3xcjXEqzEHpaMck04qufWYB5sg&astse=b733f17ce1c041a1&assa=4085&vjfrom=serp,30+ days ago,N/A
Software Engineering Intern - Summer 2022,MongoDB,"New York, NY 10019",3.7 out of 5 stars from 30 employee ratings,"We're seeking curious minds like yours to help us build the most modern and productive data platform. Join the team that is making data stunningly easy to work with to help organizations across the globe transform their industries!As an intern, you will collaborate with full-time engineers doing work that matters, learning development standard methodologies, and gaining practical software engineering experience. Interns are fully integrated software engineers who spend the summer pushing production-level code. Whether it's adding directly to our open-source database and drivers, our enterprise tools, or one of our cloud offerings, interns make lasting contributions to our engineering team.What we are looking for in youIn the process of receiving a Bachelor's or Master's degree in Computer Science, Computer Engineering, or a related fieldHave a proven foundation in computer science theory, with strong proficiencies in data structures, algorithms, and software designProficient in one of our commonly used languages - which include C++, Go, Python, Java, Javascript, Node.js - or a comparable object-oriented programming languageGenuinely interested in MongoDB the company and are eager to use MongoDB in a project, if you haven't alreadyWhat you'll find at MongoDBImpactful and meaningful work that will see the light of day!Learn groundbreaking technologies, new languages, and sophisticated development practicesMentorship from incredible engineers who are passionate about developing your skills and helping you growInsight from groundbreakers in tech, including our executives through speaker seriesA community of fellow interns to have a fun summer attending events like Broadway shows, pizza tours, Central Park hangouts, and games nightsTo drive the personal growth and business impact of our employees, we're committed to developing a supportive and enriching culture for everyone. From employee affinity groups to flexible time-off, we value our employees' wellbeing and want to support them along every step of their professional and personal journeys. Learn more about what it's like to work at MongoDB, and help us make an impact on the world!MongoDB is committed to providing any necessary accommodations for individuals with disabilities within our application and interview process. To request accommodation due to a disability, please inform your recruiter.MongoDB, Inc. provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",https://www.indeed.com/rc/clk?jk=6824a83a6e992e87&from=vj&pos=bottom&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXielFUBqSg-IpzIm09gIrRLXEqzEHpaMck04qufWYB5sg&astse=16effc53740dc047&assa=4833&vjfrom=serp,4 days ago,N/A
Backend Software Engineer Internship,Relaymile,"New York, NY",3 out of 5 stars from 2 employee ratings,"We are looking for a passionate Backend Software Engineer to design, develop and install software solutions. Software Engineer responsibilities include gathering user requirements, defining system functionality, and writing code in Python and Flask. Our ideal candidates are familiar with the software development life cycle (SDLC) from preliminary system analysis to tests and deployment and is looking for a real-life experience. Ultimately, the role of the Software Engineer is to build high-quality, innovative, and fully performing software that complies with coding standards and technical design.ResponsibilitiesExecute a full software development life cycle (SDLC)Develop flowcharts, layouts and documentation to identify requirements and solutionsWrite well-designed, testable codeProduce specifications and determine operational feasibilityIntegrate software components into a fully functional software systemDevelop software verification plans and quality assurance proceduresDocument and maintain software functionalityTroubleshoot, debug and upgrade existing systemsDeploy programs and evaluate user feedbackComply with project plans and industry standardsEnsure software is updated with the latest featuresSkillsProven work experience as a Software Engineer or Software DeveloperExperience designing interactive applicationsAbility to develop software and web applications in Python and Flask.Excellent knowledge of relational databases, SQL and ORM technologies (JPA2, Hibernate)Experience with test-driven developmentProficiency in software engineering toolsAbility to document requirements and specificationsBSc degree in Computer Science, Engineering or relevant fieldJob Types: Part-time, InternshipBenefits:Flexible scheduleSchedule:Monday to FridayWeekend availabilityExperience:Flask: 1 year (Required)Databases: 1 year (Required)Python: 1 year (Required)Work Location:Multiple locationsWork Remotely:Yes",https://www.indeed.com/viewjob?cmp=Relaymile&t=Backend+Software+Engineer+Internship&jk=a26b3f39826d3820&vjs=3,30+ days ago,N/A
Graphics Intern,Dow Jones,"New York, NY 10176",3.9 out of 5 stars from 226 employee ratings,"Job Description:Summer 2022 Graphics Internship at The Wall Street JournalINTERNSHIP OVERVIEW:The Wall Street Journal internship program is an opportunity for college juniors, seniors and graduate students to be fully immersed in our Pulitzer Prize-winning newsroom, working with some of the best journalists in the world.The 10-week, paid full-time internship program offers hands-on work experience, one-on-one mentorship, plus orientation and tailored training sessions. Interns are treated like full-time staff members and are encouraged to pitch their own stories and projects. The summer 2021 interns reported front-page news, created interactive graphics, edited photo projects, wrote colorful features, produced videos, curated and published our journalism across platforms, and much more.We strive to be a welcoming, diverse newsroom. You don’t need to be an expert in business or finance to apply, but you do need to be curious and eager to learn. The program has a storied history as a pipeline to a full-time job at the Journal, whether immediately or down the road.GRAPHICS INTERNS:The Wall Street Journal is seeking graphics interns to work with our team of graphics reporters, editors, developers, designers and the broader newsroom. The Graphics department is responsible for driving innovative storytelling with graphics, interactives, data journalism and newsroom apps that are created for digital and print. The internship is based in New York City.You should have a solid understanding of journalistic principles and a passion for visual journalism, reflected in portfolio examples of data visualizations, digital presentations or designs. You will be expected to have the initiative to take on and learn new tasks in a fast-moving environment, while communicating with other journalists around the newsroom.For static data visualization, experience with Adobe Illustrator is required. For interactive graphics, experience with HTML and CSS is required. Experience with JavaScript and D3.js is a significant bonus.You should be a self-starter who understands the needs of our growing audience across print and digital platforms and is able to work independently under deadline pressure. Dedication to high journalism standards is a must.The screening process puts heavy emphasis on work samples and prior experience. You should have completed at least one prior internship, ideally with another professional media organization, or done exceptional work with a campus news outlet or as a freelancer.HOW TO APPLY:Please submit a resume, cover letter and no more than five samples of your work. (You may include a link to a website for work samples.) Only complete applications will be considered. The deadline to apply is Nov. 1, 2021.TIMING:Summer internships take place over June, July and August, though start dates can be flexible in certain circumstances.Only finalists will be contacted. We will review applications on a rolling basis and strive to make selections by the end of January.WILL I BE PAID?Yes, interns are paid $900 per week, and we help with the cost of public transportation. We do not provide housing, but we can help point you in the right direction.MORE QUESTIONS?Email internships@wsj.com. First, please make sure your question isn’t already answered here.Dow Jones , Making Careers NewsworthyAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, or disability status. EEO/AA/M/F/Disabled/Vets .Dow Jones is committed to providing reasonable accommodation for qualified individuals with disabilities, in our job application and/or interview process. If you need assistance or accommodation in completing your application, due to a disability, please reach out to us at TalentResourceTeam@dowjones.com. Please put “Reasonable Accommodation"" in the subject line.Business Area: NEWS/WSJJob Category: About UsSince 1882, Dow Jones has been finding new ways to bring information to the world’s top business entities. Beginning as a niche news agency in an obscure Wall Street basement, Dow Jones has grown to be a worldwide news and information powerhouse, with prestigious brands including The Wall Street Journal, Dow Jones Newswires, Factiva, Barron’s, MarketWatch and Financial News.This longevity and success is due to a relentless pursuit of accuracy, depth and innovation, enhanced by the wisdom of past experience and a solid grasp on the future ahead. More than its individual brands, Dow Jones is a modern gateway to intelligence, with innovative technology, advanced data feeds, integrated solutions, expert research, award-winning journalism and customizable apps and delivery systems to bring the information that matters most to customers, when and where they need it, every day.If you are a current employee at Dow Jones, do not apply here. Please go to the Career section on your Workday homepage and view ""Find Jobs - Dow Jones."" Thank you.Req ID: 27305",https://www.indeed.com/rc/clk?jk=457a7f12bf664295&from=vj&pos=bottom&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiZ0b2eePqXcFsgZckLVxLBpsjbKTpre7P5gvPU7rdPPQ&astse=d659c262481a5d2b&assa=6538&vjfrom=serp,8 days ago,$900 a week
Intern,Runway AI,"Brooklyn, NY",N/A,"Runway is building the next generation of creative tools. We are a small team of artists, engineers, developers, and researchers working together to predict-by-inventing the future. Our team members used to work at NYU, Disney Research, IBM Research, Linode, and Stanford.We are looking for talented interns to join our team. As an intern, you’ll have the opportunity to learn and work across different teams in RunwayML. Your passion can be in software development, art, design, research, or community management. Drop us a note if you’re interested and we’ll see if we can find a fit!This is a paid internship.",https://www.indeed.com/rc/clk?jk=85b3189a5f4e2e46&from=vj&pos=bottom&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXg8sN9kpJ3Fp1uFOxUzejQP-BhdrQogdzP3xc9-PmOQTQ&astse=a5ecf9744d3a3837&assa=7859&vjfrom=serp,30+ days ago,N/A
Software Engineer Internship - Frontend,Ramp,"New York, NY 10018",4.2 out of 5 stars from 43 employee ratings,"Ramp is building the world's first finance automation platform designed to save businesses time and money. Ramp offers 5-in-1 software that consolidates corporate cards, expense management, bill payments, accounting, and reporting into one simple and free solution. More than 2,000 businesses are using Ramp for over $1 billion in annualized transaction volume, from some of the fastest growing startups and unicorns like Ro, DoNotPay, Better, ClickUp, and Applied Intuition, to established businesses across the US including Bristol Hospice, Walther Farms, Douglas Elliman, and Planned Parenthood.Founded in 2019 Ramp is NYC's fastest growing startup, having achieved a unicorn valuation of $3.9 billion in just over 2 years. Ramp has raised $620 million in funding from investors including Founders Fund, Stripe, Goldman Sachs, Coatue Management, D1 Capital Partners, Redpoint Venture and Thrive Capital, as well as over 100 angel investors who were founders or executives of leading companies. Ramp is part of the Forbes Fintech 50 and Fast Company's Best Workplaces for Innovators program.About the RoleRamp is, at its core, an engineering company, and is on a mission to build the best engineering team in NYC! We are looking for frontend and full stack engineering interns (12 weeks) who are excited to be part of our early story and help us build a diverse and vibrant tech community in the city. We hire engineers with a broad set of technical skills, who are highly cross-functional, and eager to solve a wide range of engineering challenges. Our ideal candidate has a strong sense of ownership and enjoys owning projects from inception to scaling it in production. We value people who take pride in their work, and show an aptitude for learning quickly whether they’re familiar with our stack or not. As an early employee, you'll be working with a nimble team of committed and talented engineers and having a large, long-term impact on technical design and engineering culture.What You'll DoBuild performant, beautiful, and usable interfaces that solve for growing businesses with complex needsShip products and services in cross-functional teamsWork with sales and business teams to incorporate and productize customer feedbackHelp establish engineering process, tools, and systems that will allow us to scale the code base, productivity, and the teamWhat You'll NeedCurrently pursuing a B.S. (or higher) in Computer Science or a related technical field, with an expected graduation date in 2021 or 2022Proficiency in JavaScript, with a knack for getting the visuals rightExperience with one or more object-oriented programming languagesTrack record of shipping high quality products and features or a portfolio of side projectsAbility to turn business and product ideas into engineering solutionsDesire to work in a fast-paced environment, continuously grow, and master your craftAlignment with Ramp’s core values of enabling businesses to grow more by spending lessNice to HavesProficiency in React v16+Familiarity with or desire to learn our tech stack which includes, but not limited to: Flask (Python), Elixir, AWS, RabbitMQ, PostgreSQLPassion for, or curiosity to learn, financial technologyAbout Our TeamsCard Engineering | Ramp’s Card Engineering team is responsible for shipping products with a singular focus on enhancing the finance team and cardholder experience. Current project areas include accounting, physical/virtual card management, mobile wallets, transactions, reimbursements, spend insights, and vendor/invoice management.Risk Engineering | Ramp’s Risk Engineering team is pioneering how risk is evaluated and building the infrastructure to scale to millions of business in the United States. Current project areas include application processing, underwriting & KYC, risk data signals, risk limit & exposure management, bank linking, capital markets, fraud, and payments.Learn more about our problem space and environment at our new engineering blog!Ramp BenefitsUnlimited PTOWFH stipend to support your home office needsMonthly wellness stipend",https://www.indeed.com/rc/clk?jk=2d93faccd00ee253&from=vj&pos=bottom&mvj=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXjhgfW964FyE3qb61uLSo4uULY8luZ3vf8Ryj3D5QnPXg&astse=10ac50fcdf3fb5c7&assa=8551&vjfrom=serp,30+ days ago,N/A
